Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
5/26/2017,995,998.65,989.2491,995.78,3394090,0,1,995,998.65,989.2491,995.78,3394090
5/30/2017,996.51,1001.2,995.52,996.7,3245760,0,1,996.51,1001.2,995.52,996.7,3245760
5/31/2017,1000,1000.12,982.16,994.62,3912535,0,1,1000,1000.12,982.16,994.62,3912535
6/1/2017,998.59,998.99,991.37,995.95,2384298,0,1,998.59,998.99,991.37,995.95,2384298
6/2/2017,998.99,1008.48,995.67,1006.73,3714954,0,1,998.99,1008.48,995.67,1006.73,3714954
6/5/2017,1007.23,1013.21,1003.51,1011.34,2676857,0,1,1007.23,1013.21,1003.51,1011.34,2676857
6/6/2017,1012,1016.5,1001.25,1002.97,3298378,0,1,1012,1016.5,1001.25,1002.97,3298378
6/7/2017,1005.95,1010.25,1002,1010.07,2779551,0,1,1005.95,1010.25,1002,1010.07,2779551
6/8/2017,1012.06,1013.61,1006.11,1009.94,2724408,0,1,1012.06,1013.61,1006.11,1009.94,2724408
6/9/2017,1012.5,1012.99,927,978.31,7548854,0,1,1012.5,1012.99,927,978.31,7548854
6/12/2017,967,975.95,945,964.83,9393802,0,1,967,975.95,945,964.83,9393802
6/13/2017,977.99,984.5,966.1,980.79,4533933,0,1,977.99,984.5,966.1,980.79,4533933
6/14/2017,988.59,990.34,966.71,976.47,3943670,0,1,988.59,990.34,966.71,976.47,3943670
6/15/2017,958.7,965.73,950.86,964.17,5202147,0,1,958.7,965.73,950.86,964.17,5202147
6/16/2017,996,999.75,982,987.71,11314754,0,1,996,999.75,982,987.71,11314754
6/19/2017,1017,1017,989.9,995.17,4967600,0,1,1017,1017,989.9,995.17,4967600
6/20/2017,998,1004.88,992.02,992.59,4040990,0,1,998,1004.88,992.02,992.59,4040990
6/21/2017,998.7,1002.72,992.6518,1002.23,2892563,0,1,998.7,1002.72,992.6518,1002.23,2892563
6/22/2017,1002.23,1006.96,997.2,1001.3,2221035,0,1,1002.23,1006.96,997.2,1001.3,2221035
6/23/2017,1002.54,1004.62,998.02,1003.74,2645973,0,1,1002.54,1004.62,998.02,1003.74,2645973
6/26/2017,1008.5,1009.8,992,993.98,3347195,0,1,1008.5,1009.8,992,993.98,3347195
6/27/2017,990.69,998.8,976,976.78,3735360,0,1,990.69,998.8,976,976.78,3735360
6/28/2017,978.55,990.68,969.21,990.33,3708638,0,1,978.55,990.68,969.21,990.33,3708638
6/29/2017,979,987.56,965.25,975.93,4246765,0,1,979,987.56,965.25,975.93,4246765
6/30/2017,980.12,983.47,967.61,968,3309138,0,1,980.12,983.47,967.61,968,3309138
7/3/2017,972.79,974.49,951.0001,953.66,2908267,0,1,972.79,974.49,951.0001,953.66,2908267
7/5/2017,961.53,975,955.25,971.4,3587645,0,1,961.53,975,955.25,971.4,3587645
7/6/2017,964.66,974.4,959.02,965.14,3229378,0,1,964.66,974.4,959.02,965.14,3229378
7/7/2017,969.55,980.11,969.14,978.76,2582645,0,1,969.55,980.11,969.14,978.76,2582645
7/10/2017,985,999.4392,983.5,996.47,3462884,0,1,985,999.4392,983.5,996.47,3462884
7/11/2017,993,995.99,983.72,994.13,2947479,0,1,993,995.99,983.72,994.13,2947479
7/12/2017,1000.65,1008.55,998.1,1006.51,3491988,0,1,1000.65,1008.55,998.1,1006.51,3491988
7/13/2017,1004.62,1006.88,995.9,999.855,2864533,0,1,1004.62,1006.88,995.9,999.855,2864533
7/14/2017,1002.4,1004.45,996.89,1001.81,2066362,0,1,1002.4,1004.45,996.89,1001.81,2066362
7/17/2017,1004.69,1014.75,1003.81,1010.04,3636801,0,1,1004.69,1014.75,1003.81,1010.04,3636801
7/18/2017,1006,1026.03,1004,1024.38,3957892,0,1,1006,1026.03,1004,1024.38,3957892
7/19/2017,1025,1031.59,1022.5,1026.87,2936902,0,1,1025,1031.59,1022.5,1026.87,2936902
7/20/2017,1031.59,1034.97,1022.52,1028.7,2964341,0,1,1031.59,1034.97,1022.52,1028.7,2964341
7/21/2017,1021.28,1026.1,1011,1025.67,2677517,0,1,1021.28,1026.1,1011,1025.67,2677517
7/24/2017,1028.34,1043.01,1027.43,1038.95,3212499,0,1,1028.34,1043.01,1027.43,1038.95,3212499
7/25/2017,1038.05,1043.33,1032.48,1039.87,2432328,0,1,1038.05,1043.33,1032.48,1039.87,2432328
7/26/2017,1043.2,1053.2,1043.2,1052.8,2828980,0,1,1043.2,1053.2,1043.2,1052.8,2828980
7/27/2017,1069.55,1083.31,1040.18,1046,9905158,0,1,1069.55,1083.31,1040.18,1046,9905158
7/28/2017,1012.14,1032.85,1001,1020.04,7624498,0,1,1012.14,1032.85,1001,1020.04,7624498
7/31/2017,1019.05,1019.05,987.02,987.78,7246638,0,1,1019.05,1019.05,987.02,987.78,7246638
8/1/2017,996.11,1006.4,991.58,996.19,4421395,0,1,996.11,1006.4,991.58,996.19,4421395
8/2/2017,1001.77,1003.21,981.73,995.89,4017780,0,1,1001.77,1003.21,981.73,995.89,4017780
8/3/2017,999.47,999.5,984.59,986.92,3203134,0,1,999.47,999.5,984.59,986.92,3203134
8/4/2017,989.68,991.672,982,987.58,2704026,0,1,989.68,991.672,982,987.58,2704026
8/8/2017,994.35,996.28,985.79,989.84,2847527,0,1,994.35,996.28,985.79,989.84,2847527
8/9/2017,982.6,988,975.27,982.01,3434077,0,1,982.6,988,975.27,982.01,3434077
8/10/2017,976.295,979.86,954.68,956.92,5560388,0,1,976.295,979.86,954.68,956.92,5560388
8/11/2017,960,970.39,951.38,967.99,3431423,0,1,960,970.39,951.38,967.99,3431423
8/14/2017,978.41,985.5,976.19,983.3,3008007,0,1,978.41,985.5,976.19,983.3,3008007
8/15/2017,988.9,991.74,982,982.74,2513139,0,1,988.9,991.74,982,982.74,2513139
8/16/2017,981.65,986.4605,973.22,978.18,3096051,0,1,981.65,986.4605,973.22,978.18,3096051
8/17/2017,977.84,977.84,960.32,960.57,3396045,0,1,977.84,977.84,960.32,960.57,3396045
8/18/2017,961.4,965.43,954.65,958.47,3248677,0,1,961.4,965.43,954.65,958.47,3248677
8/21/2017,957.57,961.2,945.46,953.29,3008450,0,1,957.57,961.2,945.46,953.29,3008450
8/22/2017,955.52,967.93,955.495,966.9,2718261,0,1,955.52,967.93,955.495,966.9,2718261
